n,q,name,space,sum,time
1000,2000000,"Naive",16,1564716113307259163,59.4304375
1000,2000000,"CachedQuery",4004032,1564716113307259163,1.0992295
1000,2000000,"SparseTable",80032,1564716113307259163,1.389625
1000,2000000,"SegmentTree",16032,1564716113307259163,14.916542
1000,2000000,"Block<4>",16048,1564716113307259163,13.143979
1000,2000000,"Block<64>",688,1564716113307259163,29.4455
1000,2000000,"Block<512>",80,1564716113307259163,59.131729
1000,2000000,"PrecomputeBlock<4>",32096,1564716113307259163,2.093375
1000,2000000,"PrecomputeBlock<64>",16736,1564716113307259163,6.1544375
1000,2000000,"PrecomputeBlock<512>",16128,1564716113307259163,59.1701875
1000,2000000,"CartesianTree<6>",13153,1564716113307259163,4.3499165
1000,2000000,"CartesianTree<8>",11592,1564716113307259163,3.6034795
1000,2000000,"CartesianTree<16>",11940,1564716113307259163,3.7817295
1000,2000000,"CartesianTree<32>",18656,1564716113307259163,4.0382705
3000,2000000,"Naive",16,1562898586266155235,188.2372915
3000,2000000,"CachedQuery",36012032,1562898586266155235,4.8859165
3000,2000000,"SparseTable",288032,1562898586266155235,1.4402705
3000,2000000,"SegmentTree",48032,1562898586266155235,17.2806875
3000,2000000,"Block<4>",60048,1562898586266155235,13.214854
3000,2000000,"Block<64>",2304,1562898586266155235,30.2244375
3000,2000000,"Block<512>",192,1562898586266155235,80.353021
3000,2000000,"PrecomputeBlock<4>",108096,1562898586266155235,2.0386665
3000,2000000,"PrecomputeBlock<64>",50352,1562898586266155235,3.4313125
3000,2000000,"PrecomputeBlock<512>",48240,1562898586266155235,34.141458
3000,2000000,"CartesianTree<6>",40427,1562898586266155235,4.307875
3000,2000000,"CartesianTree<8>",39036,1562898586266155235,3.5043545
3000,2000000,"CartesianTree<16>",38448,1562898586266155235,3.5281665
3000,2000000,"CartesianTree<32>",55368,1562898586266155235,3.652667
10000,2000000,"Naive",16,6804948047650037368,645.814375
10000,2000000,"CachedQuery",400040032,6804948047650037368,10.484625
10000,2000000,"SparseTable",1120032,6804948047650037368,1.5905205
10000,2000000,"SegmentTree",160032,6804948047650037368,19.7358335
10000,2000000,"Block<4>",240048,6804948047650037368,13.349771
10000,2000000,"Block<64>",10096,6804948047650037368,30.390458
10000,2000000,"Block<512>",848,6804948047650037368,85.303646
10000,2000000,"PrecomputeBlock<4>",400096,6804948047650037368,2.3675
10000,2000000,"PrecomputeBlock<64>",170144,6804948047650037368,2.501625
10000,2000000,"PrecomputeBlock<512>",160896,6804948047650037368,13.032021
10000,2000000,"CartesianTree<6>",156169,6804948047650037368,4.337417
10000,2000000,"CartesianTree<8>",137308,6804948047650037368,3.7195205
10000,2000000,"CartesianTree<16>",137596,6804948047650037368,3.8485415
10000,2000000,"CartesianTree<32>",189148,6804948047650037368,3.7920415
30000,2000000,"SparseTable",3600032,6740525527070845088,2.151854
30000,2000000,"SegmentTree",480032,6740525527070845088,22.8367085
30000,2000000,"Block<4>",780048,6740525527070845088,13.2110625
30000,2000000,"Block<64>",33816,6740525527070845088,30.4583125
30000,2000000,"Block<512>",2880,6740525527070845088,91.0917705
30000,2000000,"PrecomputeBlock<4>",1260096,6740525527070845088,3.0489375
30000,2000000,"PrecomputeBlock<64>",513864,6740525527070845088,2.3755625
30000,2000000,"PrecomputeBlock<512>",482928,6740525527070845088,6.199896
30000,2000000,"CartesianTree<6>",542868,6740525527070845088,4.6558335
30000,2000000,"CartesianTree<8>",409980,6740525527070845088,4.317354
30000,2000000,"CartesianTree<16>",427596,6740525527070845088,4.6016875
30000,2000000,"CartesianTree<32>",574152,6740525527070845088,4.249271
100000,2000000,"SparseTable",13600032,13498746549499693316,2.861542
